"","letter","store.choice","specification","ones"
"1","A","A","TRUE","1"
"2","A","A","TRUE","1"
"3","A","A","TRUE","1"
"4","A","A","TRUE","1"
"5","A","A","TRUE","1"
"6","A","A","TRUE","1"
"7","A","A","TRUE","1"
"8","A","A","TRUE","1"
"9","A","A","TRUE","1"
"10","A","A","TRUE","1"
"11","A","A","TRUE","1"
"12","A","A","TRUE","1"
"13","A","A","TRUE","1"
"14","A","A","TRUE","1"
"15","A","A","TRUE","1"
"16","A","A","TRUE","1"
"17","A","A","TRUE","1"
"18","A","A","TRUE","1"
"19","A","A","TRUE","1"
"20","A","A","TRUE","1"
"21","A","A","TRUE","1"
"22","A","A","TRUE","1"
"23","A","A","TRUE","1"
"24","A","Y","FALSE","1"
"25","A","A","TRUE","1"
"26","A","A","TRUE","1"
"27","A","A","TRUE","1"
"28","A","A","TRUE","1"
"29","A","A","TRUE","1"
"30","A","M","FALSE","1"
"31","A","A","TRUE","1"
"32","A","G","FALSE","1"
"33","A","A","TRUE","1"
"34","A","A","TRUE","1"
"35","A","A","TRUE","1"
"36","A","A","TRUE","1"
"37","A","A","TRUE","1"
"38","A","A","TRUE","1"
"39","A","A","TRUE","1"
"40","A","A","TRUE","1"
"41","A","V","FALSE","1"
"42","A","M","FALSE","1"
"43","A","S","FALSE","1"
"44","A","S","FALSE","1"
"45","A","S","FALSE","1"
"46","A","A","TRUE","1"
"47","A","A","TRUE","1"
"48","A","A","TRUE","1"
"49","A","A","TRUE","1"
"50","A","A","TRUE","1"
"51","A","A","TRUE","1"
"52","A","A","TRUE","1"
"53","A","A","TRUE","1"
"54","A","A","TRUE","1"
"55","A","A","TRUE","1"
"56","A","A","TRUE","1"
"57","A","A","TRUE","1"
"58","A","A","TRUE","1"
"59","A","A","TRUE","1"
"60","A","A","TRUE","1"
"61","A","A","TRUE","1"
"62","A","A","TRUE","1"
"63","A","A","TRUE","1"
"64","A","A","TRUE","1"
"65","A","A","TRUE","1"
"66","A","Q","FALSE","1"
"67","A","A","TRUE","1"
"68","A","A","TRUE","1"
"69","A","Y","FALSE","1"
"70","A","A","TRUE","1"
"71","A","A","TRUE","1"
"72","A","N","FALSE","1"
"73","A","A","TRUE","1"
"74","A","A","TRUE","1"
