A,0,0,0,-1,-1,-1,-1,-1,-1,-1
B,0,1,1,0,1,1,0,0,-1,-1
C,0,1,1,1,1,0,-1,-1,-1,-1
D,0,1,1,0,1,0,0,-1,-1,-1
E,0,1,1,1,1,1,-1,-1,-1,-1
F,1,0,1,1,0,-1,-1,-1,-1,-1
G,0,1,1,0,1,1,1,1,0,-1
H,0,1,1,0,1,0,1,0,-1,-1
I,0,1,0,0,-1,-1,-1,-1,-1,-1
J,0,1,0,1,-1,-1,-1,-1,-1,-1
K,0,1,1,0,0,0,-1,-1,-1,-1
L,0,0,1,-1,-1,-1,-1,-1,-1,-1
M,1,1,1,1,0,-1,-1,-1,-1,-1
N,1,1,1,1,1,-1,-1,-1,-1,-1
O,0,1,1,0,1,0,1,1,-1,-1
P,1,0,0,-1,-1,-1,-1,-1,-1,-1
Q,0,1,1,0,1,1,1,1,1,-1
R,0,1,1,0,1,1,1,0,-1,-1
S,0,1,1,0,1,1,0,1,-1,-1
T,1,0,1,1,1,-1,-1,-1,-1,-1
U,1,1,0,-1,-1,-1,-1,-1,-1,-1
V,1,0,1,0,0,-1,-1,-1,-1,-1
W,1,1,1,0,-1,-1,-1,-1,-1,-1
X,0,1,1,0,0,1,-1,-1,-1,-1
Y,1,0,1,0,1,-1,-1,-1,-1,-1
Z,0,1,1,1,0,-1,-1,-1,-1,-1
